Identyfikator publiczny,Nazwa,Rodzaj obiektu,Opis ogolny,Gmina,Powiat,Wojewodztwo,Szerokosc geograficzna,Dlugosc geograficzna,Adres,Dostepnosc
OZO-6D94271C9708,Miejsce ochronne,Obiekt ochrony ludności,,Otmuchów,pow. nyski,opolskie,50.412254848596,17.1544466939522,"53, Piotrowice Nyskie",Na żądanie
OZO-65149A51575F,Miejsce ochronne,Obiekt ochrony ludności,,Święciechowa,pow. leszczyński,wielkopolskie,51.8244289941268,16.4431772643901,"ul. Leszczyńska 4, Długie Stare",Na żądanie
OZO-6730709EDC2F,Miejsce ochronne,Obiekt ochrony ludności,,Żary,pow. żarski,lubuskie,51.62829037,15.12930728,"ul. Okrzei 49c, Żary",Na żądanie
OZO-57192FA21A0C,Miejsce ochronne,Obiekt ochrony ludności,,Lubsko,pow. żarski,lubuskie,51.7820884,14.98035,"ul. Norwida Cypriana 10, Lubsko",Na żądanie
OZO-2BAB420F2C64,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.0835104498097,16.9554032023071,"ul.Ibn Siny Awicenny 30, Wrocław",Na żądanie
OZO-B819E3A3FD3D,Miejsce ochronne,Obiekt ochrony ludności,,Nysa,pow. nyski,opolskie,50.47912108141113,17.322451472282413,"ul. Tadeusza Kościuszki 9, Nysa",Określone godziny
OZO-141316DE8895,Miejsce ochronne,Obiekt ochrony ludności,,Przewóz,pow. żarski,lubuskie,51.47830214,14.95069858,"ul. Wojska Polskiego 1, Przewóz",Na żądanie
OZO-796553747AFB,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.106701712516,16.9436740030246,"ul. Graniczna 2ab, Wrocław",Na żądanie
OZO-21B9FA796032,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.0782334091696,17.0817749663267,"ul. Opolska 49, Wrocław",Na żądanie
OZO-DDEEFCD0CA25,Miejsce ochronne,Obiekt ochrony ludności,,Nowa Sól,pow. nowosolski,lubuskie,51.79926713273975,15.714817196130754,"ul. Zamenhofa 1, Nowa Sól",Na żądanie
OZO-0874D4358602,Miejsce ochronne,Obiekt ochrony ludności,,Nysa,pow. nyski,opolskie,50.474959600808745,17.336892485618595,"ul. Wałowa 7, Nysa",Określone godziny
OZO-5EB82D642388,Miejsce ochronne,Obiekt ochrony ludności,,Żary,pow. żarski,lubuskie,51.6420866,15.1234358,"ul. Paderewskiego Ignacego 8, Żary",Na żądanie
OZO-3AA2835D7CF6,Miejsce ochronne,Obiekt ochrony ludności,,Lubomierz,pow. lwówecki,dolnośląskie,51.01234222465236,15.510781556367876,"ul. Adama Asnyka 1, Lubomierz",Na żądanie
OZO-56E42767B2CE,Miejsce ochronne,Obiekt ochrony ludności,,Góra,pow. górowski,dolnośląskie,51.74302279078999,16.52177453041077,"3NM, Witoszyce",Na żądanie
OZO-F9F3499FD0B7,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.06019419,17.07774848,"ul. Semaforowa 21, Wrocław",Na żądanie
OZO-5B9A780017BF,Miejsce ochronne,Obiekt ochrony ludności,,Kłodzko,pow. kłodzki,dolnośląskie,50.43270957799082,16.637831032276157,"ul. Letnia 24, Kłodzko",Na żądanie
OZO-C39D22846622,Miejsce ochronne,Obiekt ochrony ludności,,Jelenia Góra,Jelenia Góra,dolnośląskie,50.8915782138439,15.7310327772375,"ul. Jacka Malczewskiego 12, Jelenia Góra",Na żądanie
OZO-8B1CB7337FAC,Miejsce ochronne,Obiekt ochrony ludności,,Malczyce,pow. średzki,dolnośląskie,51.21661313,16.49021761,"ul. Dworcowa 4, Malczyce",Na żądanie
OZO-E71387414CDB,Miejsce ochronne,Obiekt ochrony ludności,,Góra,pow. górowski,dolnośląskie,51.64807348862028,16.659017801284794,"27, Bronów",Na żądanie
OZO-1E13BBF37B04,Miejsce ochronne,Obiekt ochrony ludności,,Zielona Góra,Zielona Góra,lubuskie,51.94725575822677,15.52043750882149,"ul. Bema Generała Józefa 26, Zielona Góra",Na żądanie
OZO-A44AC027A69A,Miejsce ochronne,Obiekt ochrony ludności,,Nowe Miasteczko,pow. nowosolski,lubuskie,51.6835402389843,15.6343232751956,"57K, Borów Wielki",Na żądanie
OZO-58CAEB10280D,Miejsce ochronne,Obiekt ochrony ludności,,Stronie Śląskie,pow. kłodzki,dolnośląskie,50.29404927,16.87153306,"2, Strachocin",Na żądanie
OZO-674060CA8898,Miejsce ochronne,Obiekt ochrony ludności,,Ścinawa,pow. lubiński,dolnośląskie,51.4140393115405,16.4298175478222,"ul. Władysława Jagiełły 21, Ścinawa",Całodobowa
OZO-6CA1CA7FEE1B,Miejsce ochronne,Obiekt ochrony ludności,,Szprotawa,pow. żagański,lubuskie,51.66001714618204,15.531763071558009,"22/2, Siecieborzyce",Na żądanie
OZO-786CD67E7AB2,Miejsce ochronne,Obiekt ochrony ludności,,Żagań,pow. żagański,lubuskie,51.5514377922834,15.3876790590585,"32A, Trzebów",Na żądanie
OZO-EFCD64195505,Miejsce ochronne,Obiekt ochrony ludności,,Szprotawa,pow. żagański,lubuskie,51.6007747613021,15.5615834615732,"39/14, Pasterzowice",Na żądanie
OZO-14F01F25B6F5,Miejsce ochronne,Obiekt ochrony ludności,,Wąsosz,pow. górowski,dolnośląskie,51.5136083333333,16.7015783333333,"36, Kamień Górowski",Na żądanie
OZO-5476FAD8F68A,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.10399014759382,17.010434120893482,"ul. Zdrowa 22, Wrocław",Na żądanie
OZO-619E38662F0B,Miejsce ochronne,Obiekt ochrony ludności,,Ścinawa,pow. lubiński,dolnośląskie,51.41063991,16.436581,"ul. Wołowska 30, Ścinawa",Całodobowa
OZO-3559E01B217B,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.0783971247921,17.0823647284748,"ul. Opolska 45, Wrocław",Na żądanie
OZO-5ADAB41D859D,Miejsce ochronne,Obiekt ochrony ludności,,Wąsosz,pow. górowski,dolnośląskie,51.5132994087349,16.7016084721546,"35, Kamień Górowski",Na żądanie
OZO-4C655502A022,Miejsce ochronne,Obiekt ochrony ludności,,Kamienna Góra,pow. kamiennogórski,dolnośląskie,50.78272075660133,16.033131033182148,"ul. Karola Miarki 11, Kamienna Góra",Na żądanie
OZO-EEA3B6314472,Miejsce ochronne,Obiekt ochrony ludności,,Leszno,Leszno,wielkopolskie,51.8377148771031,16.5837981396726,"ul. por. Leona Włodarczaka 40, Leszno",Na żądanie
OZO-03F7165DEDD1,Miejsce ochronne,Obiekt ochrony ludności,,Brzeg Dolny,pow. wołowski,dolnośląskie,51.265887827135,16.7039462752001,"ul. Józefa Maksymiliana Ossolińskiego 12, Brzeg Dolny",Na żądanie
OZO-75F33CF9395C,Miejsce ochronne,Obiekt ochrony ludności,,Skoroszyce,pow. nyski,opolskie,50.6235586392872,17.370475903924955,"os. Osiedle Tumbewa 10, Chróścina",Na żądanie
OZO-C1733F94BEC9,Miejsce ochronne,Obiekt ochrony ludności,,Kamienna Góra,pow. kamiennogórski,dolnośląskie,50.7786870001882,16.0375056710274,"ul. Jana Kilińskiego 1, Kamienna Góra",Na żądanie
OZO-F2F729910806,Miejsce ochronne,Obiekt ochrony ludności,,Skoroszyce,pow. nyski,opolskie,50.598641234418714,17.381013256961488,"ul. Działkowa 9, Skoroszyce",Na żądanie
OZO-B1C855044081,Miejsce ochronne,Obiekt ochrony ludności,,Otyń,pow. nowosolski,lubuskie,51.84321193147117,15.71262985467911,"ul. Nowosolska 38, Modrzyca",Na żądanie
OZO-F63BB8B57BD7,Miejsce ochronne,Obiekt ochrony ludności,,Kożuchów,pow. nowosolski,lubuskie,51.8109076353295,15.490158609493,"32A, Radwanów",Na żądanie
OZO-6473DE244F44,Miejsce ochronne,Obiekt ochrony ludności,,Wąsosz,pow. górowski,dolnośląskie,51.56950956558587,16.702437400817875,"ul. Rawicka 17, Wąsosz",Na żądanie
OZO-1FEBBC50E865,Miejsce ochronne,Obiekt ochrony ludności,,Lubin,pow. lubiński,dolnośląskie,51.40216719,16.17010109,"ul. Miedziana 17, Lubin",Na żądanie
OZO-0DC5BE61EEE9,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.0853318470706,17.0085849700242,"ul. Racławicka 15/19, Wrocław",Na żądanie
OZO-A2DE4226EC5B,Miejsce ochronne,Obiekt ochrony ludności,,Ścinawa,pow. lubiński,dolnośląskie,51.41276692,16.42707943,"ul. Władysława Jagiełły 29, Ścinawa",Całodobowa
OZO-26AC584FBFB9,Miejsce ochronne,Obiekt ochrony ludności,,Szprotawa,pow. żagański,lubuskie,51.60040612977793,15.561652818775185,"39/15, Pasterzowice",Na żądanie
OZO-DBA7E9FB23A9,Miejsce ochronne,Obiekt ochrony ludności,,Zagrodno,pow. złotoryjski,dolnośląskie,51.1977770837013,15.7807062546633,"33, Olszanica",Na żądanie
OZO-4552A52AFCBD,Miejsce ochronne,Obiekt ochrony ludności,,Lubin,pow. lubiński,dolnośląskie,51.38294337,16.19958678,"ul. Kwiatowa 4-6, Lubin",Na żądanie
OZO-9F15FCD7ECF3,Miejsce ochronne,Obiekt ochrony ludności,,Kożuchów,pow. nowosolski,lubuskie,51.748178944453,15.5790594268817,"ul. Kościuszki 9A, Kożuchów",Na żądanie
OZO-E0F5CF687EEE,Miejsce ochronne,Obiekt ochrony ludności,,Wschowa,pow. wschowski,lubuskie,51.8369361634564,16.3337762961881,"93a, Osowa Sień",Na żądanie
OZO-3353F853A821,Miejsce ochronne,Obiekt ochrony ludności,,Wschowa,pow. wschowski,lubuskie,51.8370550944733,16.3341532028618,"93b, Osowa Sień",Na żądanie
OZO-18CDADC90784,Miejsce ochronne,Obiekt ochrony ludności,,Kożuchów,pow. nowosolski,lubuskie,51.8113046630429,15.4899106040397,"32C, Radwanów",Na żądanie
OZO-D4F4FF4EC2C4,Miejsce ochronne,Obiekt ochrony ludności,,Wschowa,pow. wschowski,lubuskie,51.8132142590662,16.2576393955774,"9C, Tylewice",Na żądanie
OZO-ED3BD3ECD5A1,Miejsce ochronne,Obiekt ochrony ludności,,Kożuchów,pow. nowosolski,lubuskie,51.7496745355475,15.5767513950407,"ul. Grota-Roweckiego 6, Kożuchów",Na żądanie
OZO-BBF065F714A7,Miejsce ochronne,Obiekt ochrony ludności,,Nowa Sól,pow. nowosolski,lubuskie,51.7998499829559,15.7175917725524,"ul. Wrocławska 10, Nowa Sól",Na żądanie
OZO-2CED94E30A0E,Miejsce ochronne,Obiekt ochrony ludności,,Przewóz,pow. żarski,lubuskie,51.551080306749355,14.93264615535736,"31, Piotrów",Na żądanie
OZO-E35C4CC4400B,Miejsce ochronne,Obiekt ochrony ludności,,Nowa Sól,pow. nowosolski,lubuskie,51.7967106730565,15.7118828975641,"ul. Topolowa 2, Nowa Sól",Na żądanie
OZO-8926CF6C7E75,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.1301339999991,17.0464483999997,"ul. Rychtalska 20, Wrocław",Na żądanie
OZO-5AF80BECA4A7,Miejsce ochronne,Obiekt ochrony ludności,,Wschowa,pow. wschowski,lubuskie,51.8130218108778,16.2720962599225,"56, Przyczyna Górna",Na żądanie
OZO-E708EDCEBD0D,Miejsce ochronne,Obiekt ochrony ludności,,Jasień,pow. żarski,lubuskie,51.75139906852976,15.013522803783417,"ul. Jana Pawła II 7, Jasień",Na żądanie
OZO-9D544BFB53E4,Miejsce ochronne,Obiekt ochrony ludności,,Wschowa,pow. wschowski,lubuskie,51.8154161431899,16.2547525001013,"72d, Tylewice",Na żądanie
OZO-4DE2825C396E,Miejsce ochronne,Obiekt ochrony ludności,,Nowe Miasteczko,pow. nowosolski,lubuskie,51.6822521115005,15.6337321383464,"57G, Borów Wielki",Na żądanie
OZO-EF1E8409BA76,Miejsce ochronne,Obiekt ochrony ludności,,Wschowa,pow. wschowski,lubuskie,51.8154593616687,16.2539084947429,"72e, Tylewice",Na żądanie
OZO-0FBD828B9C26,Miejsce ochronne,Obiekt ochrony ludności,,Kożuchów,pow. nowosolski,lubuskie,51.7478945091518,15.5792211194662,"ul. Kościuszki 11B, Kożuchów",Na żądanie
OZO-40E444D98D77,Miejsce ochronne,Obiekt ochrony ludności,,Wołów,pow. wołowski,dolnośląskie,51.39399035835972,16.632845923852493,"60, Bożeń",Na żądanie
OZO-AAC19B250AC0,Miejsce ochronne,Obiekt ochrony ludności,,Wąsosz,pow. górowski,dolnośląskie,51.57850303941632,16.65359973907471,"13H, Bełcz Mały",Na żądanie
OZO-46A1AFF36240,Miejsce ochronne,Obiekt ochrony ludności,,Zawidów,pow. zgorzelecki,dolnośląskie,51.0233914624077,15.0538132782345,"ul. Budowlanych 12, Zawidów",Na żądanie
OZO-EEF657B221B5,Miejsce ochronne,Obiekt ochrony ludności,,Leśna,pow. lubański,dolnośląskie,51.02258992,15.26231724,"ul. Kochanowskiego Jana 3, Leśna",Na żądanie
OZO-28B134B3E7AD,Miejsce ochronne,Obiekt ochrony ludności,,Poniec,pow. gostyński,wielkopolskie,51.8254200000001,16.88185,"70b, Łęka Wielka",Całodobowa
OZO-3ECBA516A534,Miejsce ochronne,Obiekt ochrony ludności,,Żagań,pow. żagański,lubuskie,51.710395311465305,15.281681645471817,"118, Miodnica",Na żądanie
OZO-0555EEAAB74A,Miejsce ochronne,Obiekt ochrony ludności,,Brzeg,pow. brzeski,opolskie,50.85821771,17.47314909,"ul. Piastowska 7, Brzeg",Określone godziny
OZO-217F1346B20B,Miejsce ochronne,Obiekt ochrony ludności,,Łabowa,pow. nowosądecki,małopolskie,49.523829404675816,20.934976637363437,"29, Kamianna",Określone godziny
OZO-908A878DBF0C,Miejsce ochronne,Obiekt ochrony ludności,,Legnica,Legnica,dolnośląskie,51.20358963184392,16.1421574652195,"ul. Marynarska 54, Legnica",Na żądanie
OZO-99E2B590880E,Miejsce ochronne,Obiekt ochrony ludności,,Nysa,pow. nyski,opolskie,50.4725506,17.33645422,"rynek Solny 2, Nysa",Określone godziny
OZO-9762FF140B6E,Miejsce ochronne,Obiekt ochrony ludności,,Ścinawa,pow. lubiński,dolnośląskie,51.413313581614,16.4324682043508,"ul. Wołowska 6, Ścinawa",Całodobowa
OZO-8E7F3126C7A0,Miejsce ochronne,Obiekt ochrony ludności,,Przewóz,pow. żarski,lubuskie,51.47575665418979,14.948326349258425,"ul. Kościelna 10, Przewóz",Na żądanie
OZO-00C950F64D4B,Miejsce ochronne,Obiekt ochrony ludności,,Wojcieszów,pow. złotoryjski,dolnośląskie,50.946752443959525,15.932044979157979,"ul. Żeromskiego Stefana 15, Wojcieszów",Na żądanie
OZO-7F25DC5C1EEC,Miejsce ochronne,Obiekt ochrony ludności,,Malczyce,pow. średzki,dolnośląskie,51.2219058,16.49083765,"ul. Szkolna 6, Malczyce",Na żądanie
OZO-72AC85B97C39,Miejsce ochronne,Obiekt ochrony ludności,,Wąsosz,pow. górowski,dolnośląskie,51.5786180510048,16.652961373329166,"13G, Bełcz Mały",Na żądanie
OZO-6143E044F229,Miejsce ochronne,Obiekt ochrony ludności,,Kożuchów,pow. nowosolski,lubuskie,51.8121236242704,15.4891689258328,"33b, Radwanów",Na żądanie
OZO-60B58153D4E1,Miejsce ochronne,Obiekt ochrony ludności,,Borek Wielkopolski,pow. gostyński,wielkopolskie,51.88425955,17.15962255,"79, Zalesie",Całodobowa
OZO-DB3A26529818,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.1053313495527,17.0089279122787,"ul. Tęczowa 83h, Wrocław",Na żądanie
OZO-F772EF7C90E9,Miejsce ochronne,Obiekt ochrony ludności,,Zielona Góra,Zielona Góra,lubuskie,51.9451181846416,15.5129199580493,"ul. Bohaterów Westerplatte 58, Zielona Góra",Na żądanie
OZO-0A6326BC7A8C,Miejsce ochronne,Obiekt ochrony ludności,,Szprotawa,pow. żagański,lubuskie,51.5983961922086,15.5669731990894,"39/11, Pasterzowice",Na żądanie
OZO-EAACD015BDBF,Miejsce ochronne,Obiekt ochrony ludności,,Małomice,pow. żagański,lubuskie,51.6030507828224,15.4797685583475,"52, Chichy",Na żądanie
OZO-2636A068CE18,Miejsce ochronne,Obiekt ochrony ludności,,Jelcz-Laskowice,pow. oławski,dolnośląskie,51.03090373,17.3315127,"ul. Grabskiego Władysława 29, Jelcz-Laskowice",Na żądanie
OZO-958BF3F638A5,Miejsce ochronne,Obiekt ochrony ludności,,Zawidów,pow. zgorzelecki,dolnośląskie,51.0235142572892,15.0541177089578,"ul. Budowlanych 1, Zawidów",Na żądanie
OZO-1B5FDE8BC50E,Miejsce ochronne,Obiekt ochrony ludności,,Leśna,pow. lubański,dolnośląskie,51.021880792789396,15.26148095726967,"ul. Kochanowskiego Jana 7, Leśna",Na żądanie
OZO-41B26F7E80DF,Miejsce ochronne,Obiekt ochrony ludności,,Piaski,pow. gostyński,wielkopolskie,51.89436272,17.11915888,"13, Piaski",Całodobowa
OZO-29EAAFDF060B,Miejsce ochronne,Obiekt ochrony ludności,,Legnica,Legnica,dolnośląskie,51.206918683908334,16.157596260309223,"ul. Gwarna 1, Legnica",Na żądanie
OZO-638383B47696,Miejsce ochronne,Obiekt ochrony ludności,,Brzeg Dolny,pow. wołowski,dolnośląskie,51.25596916022918,16.63090397142775,"38, Pogalewo Wielkie",Na żądanie
OZO-D6F3A0F7410D,Miejsce ochronne,Obiekt ochrony ludności,,Oleśnica,pow. oleśnicki,dolnośląskie,51.2176021188578,17.3994998961572,"ul. Leśna 8, Oleśnica",Całodobowa
OZO-F4E7A9C76247,Miejsce ochronne,Obiekt ochrony ludności,,Gostyń,pow. gostyński,wielkopolskie,51.8737461,17.0042016,"Osiedle Słoneczne 5A, Gostyń",Całodobowa
OZO-6E172624C22E,Miejsce ochronne,Obiekt ochrony ludności,,Wojcieszów,pow. złotoryjski,dolnośląskie,50.94647495,15.93347392,"ul. Żeromskiego Stefana 23, Wojcieszów",Na żądanie
OZO-5DAB5BE8AC3D,Miejsce ochronne,Obiekt ochrony ludności,,Marciszów,pow. kamiennogórski,dolnośląskie,50.8515287817678,16.0163705061885,"ul. Szkolna 2, Marciszów",Na żądanie
OZO-DD17AE196F8D,Miejsce ochronne,Obiekt ochrony ludności,,Milicz,pow. milicki,dolnośląskie,51.5693218811591,17.4571496355214,"49, Gądkowice",Na żądanie
OZO-0D710CD0C7D4,Miejsce ochronne,Obiekt ochrony ludności,,Pogorzela,pow. gostyński,wielkopolskie,51.79097379,17.27922617,"43a, Wziąchów",Całodobowa
OZO-59413E20ADF5,Miejsce ochronne,Obiekt ochrony ludności,,Wojcieszów,pow. złotoryjski,dolnośląskie,50.94660737,15.93279386,"ul. Żeromskiego Stefana 19, Wojcieszów",Na żądanie
OZO-D69E54A12EBD,Miejsce ochronne,Obiekt ochrony ludności,,Zawidów,pow. zgorzelecki,dolnośląskie,51.0227952576348,15.0541147752917,"ul. Budowlanych 18, Zawidów",Na żądanie
OZO-2A8ACD83D611,Miejsce ochronne,Obiekt ochrony ludności,,Gromadka,pow. bolesławiecki,dolnośląskie,51.3561824070464,15.7632417976856,"ul. Szkolna 20, Gromadka",Na żądanie
OZO-72A6B674785B,Miejsce ochronne,Obiekt ochrony ludności,,Leśna,pow. lubański,dolnośląskie,51.02238385,15.27595525,"ul. Izerska 1, Leśna",Na żądanie
OZO-60A6F2B3BBA5,Miejsce ochronne,Obiekt ochrony ludności,,Góra,pow. górowski,dolnośląskie,51.70970557,16.48367549,"45, Brzeżany",Na żądanie
OZO-30758A8F5ECF,Miejsce ochronne,Obiekt ochrony ludności,,Żary,pow. żarski,lubuskie,51.6423944,15.12370906,"ul. Paderewskiego Ignacego 14, Żary",Na żądanie
OZO-C2686B842B6A,Miejsce ochronne,Obiekt ochrony ludności,,Gubin,pow. krośnieński,lubuskie,51.95488879,14.72786279,"ul. Kresowa 9, Gubin",Na żądanie
OZO-F35CF9727FC1,Miejsce ochronne,Obiekt ochrony ludności,,Nysa,pow. nyski,opolskie,50.472153211004844,17.336881756782535,"2, Nysa",Określone godziny
OZO-5618E30A0BD2,Miejsce ochronne,Obiekt ochrony ludności,,Rawicz,pow. rawicki,wielkopolskie,51.608596306699,16.8587044723186,"ul. Rynek 17, Rawicz",Na żądanie
OZO-833EE9144CDC,Miejsce ochronne,Obiekt ochrony ludności,,Góra,pow. górowski,dolnośląskie,51.7435044190237,16.515211164951328,"10, Witoszyce",Na żądanie
OZO-EA98D61E8236,Miejsce ochronne,Obiekt ochrony ludności,,Rawicz,pow. rawicki,wielkopolskie,51.6095868179619,16.8550109289843,"ul. Wojska Polskiego 27, Rawicz",Na żądanie
OZO-8990BBCC4247,Miejsce ochronne,Obiekt ochrony ludności,,Sława,pow. wschowski,lubuskie,51.88073206,16.07248494,"ul. Henryka Pobożnego 10, Sława",Określone godziny
OZO-FE70A878309F,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.06761551,16.98874836,"ul. Skarbowców 121b, Wrocław",Na żądanie
OZO-002A9B1B06C9,Miejsce ochronne,Obiekt ochrony ludności,,Rawicz,pow. rawicki,wielkopolskie,51.6097652300097,16.8550183050592,"ul. Wojska Polskiego 28, Rawicz",Na żądanie
OZO-364BB72E5FEB,Miejsce ochronne,Obiekt ochrony ludności,,Skoroszyce,pow. nyski,opolskie,50.624909712147414,17.368206565144902,"ul. Słoneczna 3A, Chróścina",Na żądanie
OZO-2C7CFB05719D,Miejsce ochronne,Obiekt ochrony ludności,,Zawidów,pow. zgorzelecki,dolnośląskie,51.0238036844059,15.0535802613262,"ul. Budowlanych 8, Zawidów",Na żądanie
OZO-9996CDCEFB5F,Miejsce ochronne,Obiekt ochrony ludności,,Wołów,pow. wołowski,dolnośląskie,51.327399135406274,16.633754094635112,"ul. Zaułek Zielony 14, Wołów",Na żądanie
OZO-1EFA51918BC8,Miejsce ochronne,Obiekt ochrony ludności,,Brzeg,pow. brzeski,opolskie,50.86141037,17.47397597,"ul. Wysoka 1, Brzeg",Określone godziny
OZO-1C669121872D,Miejsce ochronne,Obiekt ochrony ludności,,Przemęt,pow. wolsztyński,wielkopolskie,51.9576246703848,16.1613686497579,"ul. Cysterska 9, Kaszczor",Na żądanie
OZO-839306D8E03F,Miejsce ochronne,Obiekt ochrony ludności,,Poniec,pow. gostyński,wielkopolskie,51.761302793053595,16.802836507558826,"ul. Bojanowska 14, Poniec",Całodobowa
OZO-14B75C17C7F7,Miejsce ochronne,Obiekt ochrony ludności,,Brody,pow. żarski,lubuskie,51.8235900950604,14.829780196149,"19, Grodziszcze",Na żądanie
OZO-EFEB99A50763,Miejsce ochronne,Obiekt ochrony ludności,,Wleń,pow. lwówecki,dolnośląskie,51.01676837776855,15.672368556261064,"ul. Dworcowa 10, Wleń",Na żądanie
OZO-D1D3E7342D52,Miejsce ochronne,Obiekt ochrony ludności,,Ziębice,pow. ząbkowicki,dolnośląskie,50.65328626,17.00663506,"ul. Polna 9, Henryków",Na żądanie
OZO-79A3A966D973,Miejsce ochronne,Obiekt ochrony ludności,,Pieńsk,pow. zgorzelecki,dolnośląskie,51.2506937148285,15.0443190126886,"ul. Hutnicza 41, Pieńsk",Na żądanie
OZO-595FE48B6BE1,Miejsce ochronne,Obiekt ochrony ludności,,Jelcz-Laskowice,pow. oławski,dolnośląskie,51.03089913,17.33069927,"ul. Grabskiego Władysława 30A, Jelcz-Laskowice",Na żądanie
OZO-CFE6BE1EF919,Miejsce ochronne,Obiekt ochrony ludności,,Jelcz-Laskowice,pow. oławski,dolnośląskie,51.03147366,17.33119407,"ul. Grabskiego Władysława 21, Jelcz-Laskowice",Na żądanie
OZO-F64442C23268,Miejsce ochronne,Obiekt ochrony ludności,,Skoroszyce,pow. nyski,opolskie,50.62435533454906,17.37037550376321,"os. Osiedle Tumbewa 3, Chróścina",Na żądanie
OZO-356ED8734249,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.1318278266117,17.074683168903,"ul. Toruńska 72, Wrocław",Na żądanie
OZO-8223975BD6E6,Miejsce ochronne,Obiekt ochrony ludności,,Jasień,pow. żarski,lubuskie,51.75223428623943,15.01574903726578,"ul. Kolejowa 1, Jasień",Na żądanie
OZO-3CEB6FDBAD98,Miejsce ochronne,Obiekt ochrony ludności,,Malczyce,pow. średzki,dolnośląskie,51.21775596,16.490309,"ul. Traugutta 18, Malczyce",Na żądanie
OZO-56CE351D493F,Miejsce ochronne,Obiekt ochrony ludności,,Oleśnica,pow. oleśnicki,dolnośląskie,51.2026116698377,17.386920310041,"ul. Stanisława Moniuszki 68, Oleśnica",Na żądanie
OZO-6ED6C69849BA,Miejsce ochronne,Obiekt ochrony ludności,,Lubin,pow. lubiński,dolnośląskie,51.383566688771346,16.199896037578586,"ul. Kwiatowa 2A, Lubin",Na żądanie
OZO-AC59EA731678,Miejsce ochronne,Obiekt ochrony ludności,,Świerzawa,pow. złotoryjski,dolnośląskie,51.01673456,15.89049964,"ul. Złotoryjska 21b, Świerzawa",Całodobowa
OZO-6EC057EB6E26,Miejsce ochronne,Obiekt ochrony ludności,,Jelcz-Laskowice,pow. oławski,dolnośląskie,51.0327281620928,17.3432341543868,"ul. Piastowska 36, Jelcz-Laskowice",Na żądanie
OZO-E521A4D448E5,Miejsce ochronne,Obiekt ochrony ludności,,Rawicz,pow. rawicki,wielkopolskie,51.609585614245,16.8541594114407,"ul. Wojska Polskiego 41, Rawicz",Na żądanie
OZO-D25440BFCAC5,Miejsce ochronne,Obiekt ochrony ludności,,Skoroszyce,pow. nyski,opolskie,50.6248333333333,17.3691566666667,"ul. Szkolna 3, Chróścina",Na żądanie
OZO-4D249C7B6256,Miejsce ochronne,Obiekt ochrony ludności,,Zgorzelec,pow. zgorzelecki,dolnośląskie,51.1597590759209,15.1083404920568,"77, Trójca",Określone godziny
OZO-E995B6990712,Miejsce ochronne,Obiekt ochrony ludności,,Milicz,pow. milicki,dolnośląskie,51.5334544794537,17.3813412559332,"1, Grabownica",Na żądanie
OZO-FF8158AC70A8,Miejsce ochronne,Obiekt ochrony ludności,,Wrocław,Wrocław,dolnośląskie,51.1064502902129,17.0191234155945,"ul.Iwana Pawłowa 4, Wrocław",Na żądanie
OZO-F97E51E9B463,Miejsce ochronne,Obiekt ochrony ludności,,Leśna,pow. lubański,dolnośląskie,50.93615798,15.29533953,"ul. Nowomiejska 25, Pobiedna",Na żądanie
OZO-129CEDAFAE62,Miejsce ochronne,Obiekt ochrony ludności,,Wąsosz,pow. górowski,dolnośląskie,51.56891771760714,16.701208949089054,"ul. Rawicka 13, Wąsosz",Określone godziny
OZO-AA75B8A3A1BB,Miejsce ochronne,Obiekt ochrony ludności,,Świerzawa,pow. złotoryjski,dolnośląskie,51.01633362,15.89027896,"ul. Złotoryjska 21a, Świerzawa",Całodobowa
OZO-554C595497B8,Miejsce ochronne,Obiekt ochrony ludności,,Zielona Góra,Zielona Góra,lubuskie,51.94689699551681,15.518632382154466,"ul. Bema Generała Józefa 18, Zielona Góra",Na żądanie
OZO-204CD556F77D,Miejsce ochronne,Obiekt ochrony ludności,,Kożuchów,pow. nowosolski,lubuskie,51.7323938782877,15.6389849433635,"33A, Czciradz",Na żądanie
OZO-4D3453B2C4F9,Miejsce ochronne,Obiekt ochrony ludności,,Skoroszyce,pow. nyski,opolskie,50.6241814308441,17.372124388944364,"Osiedle Tumbewa 19, Chróścina",Na żądanie
