Identyfikator publiczny,Nazwa,Rodzaj obiektu,Opis ogolny,Gmina,Powiat,Wojewodztwo,Szerokosc geograficzna,Dlugosc geograficzna,Adres,Dostepnosc
OZO-30A97F76BCDE,Miejsce ochronne,Obiekt ochrony ludności,,Inowrocław,pow. inowrocławski,kujawsko-pomorskie,52.7998498002067,18.2659324995549,"ul. Toruńska 46, Inowrocław",Na żądanie
OZO-CD6FE90821E5,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.453737621988,18.4533359823071,"ul. Starochwaszczyńska 38C, Gdynia",Całodobowa
OZO-F2452D080F30,Miejsce ochronne,Obiekt ochrony ludności,,Gruta,pow. grudziądzki,kujawsko-pomorskie,53.4868867430227,18.9329313120651,"20, Salno",Całodobowa
OZO-A7592BBBBDB0,Miejsce ochronne,Obiekt ochrony ludności,,Ożarów Mazowiecki,pow. warszawski zachodni,mazowieckie,52.21761874226595,20.791604518890384,"ul. Nadbrzeżna 35, Ożarów Mazowiecki",Całodobowa
OZO-5E067324AD59,Miejsce ochronne,Obiekt ochrony ludności,,Pakość,pow. inowrocławski,kujawsko-pomorskie,52.7954173002349,18.0365960372021,"29, Radłowo",Całodobowa
OZO-F5CEED8121D4,Miejsce ochronne,Obiekt ochrony ludności,,Bydgoszcz,Bydgoszcz,kujawsko-pomorskie,53.1207419,18.0648245,"ul. Oksywska 4, Bydgoszcz",Określone godziny
OZO-A438E0739EF3,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.49448643905323,18.439044356346134,"ul. Janki Bryla 8, Gdynia",Całodobowa
OZO-845B82B2C269,Miejsce ochronne,Obiekt ochrony ludności,,Olsztynek,pow. olsztyński,warmińsko-mazurskie,53.5999047802761,20.1811355073005,"16, Platyny",Na żądanie
OZO-224D4C84C467,Miejsce ochronne,Obiekt ochrony ludności,,Lidzbark Warmiński,pow. lidzbarski,warmińsko-mazurskie,54.12545696949669,20.581346320304053,"ul. Prosta 5, Lidzbark Warmiński",Na żądanie
OZO-3CC243DC601C,Miejsce ochronne,Obiekt ochrony ludności,,Września,pow. wrzesiński,wielkopolskie,52.3302076581541,17.5728328421585,"ul. Kosynierów 32, Września",Określone godziny
OZO-FAD5C89D53DE,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.4811629018796,18.5550767440736,"ul. Spacerowa 33, Gdynia",Całodobowa
OZO-82F2DD4DF984,Miejsce ochronne,Obiekt ochrony ludności,,Toruń,Toruń,kujawsko-pomorskie,53.0460867299913,18.6004280199299,"ul. Jana Michała Hubego 23, Toruń",Na żądanie
OZO-1090747A7933,Miejsce ochronne,Obiekt ochrony ludności,,Września,pow. wrzesiński,wielkopolskie,52.3232412628646,17.5859922005965,"ul. Bolesława Chrobrego 19, Września",Całodobowa
OZO-96C02A89B406,Miejsce ochronne,Obiekt ochrony ludności,,Rojewo,pow. inowrocławski,kujawsko-pomorskie,52.9321908147899,18.2992008728498,"14, Jezuicka Struga",Całodobowa
OZO-F140C13540C5,Miejsce ochronne,Obiekt ochrony ludności,,Elbląg,Elbląg,warmińsko-mazurskie,54.1899198976025,19.4233686378117,"ul. Jana III Sobieskiego 18a, Elbląg",Całodobowa
OZO-7EAB9AC32740,Miejsce ochronne,Obiekt ochrony ludności,,Świekatowo,pow. świecki,kujawsko-pomorskie,53.3848576815388,18.161032695326,"45, Stążki",Na żądanie
OZO-37403988775B,Miejsce ochronne,Obiekt ochrony ludności,,Złotniki Kujawskie,pow. inowrocławski,kujawsko-pomorskie,52.90875226,18.16114124,"2, Kobelniki",Całodobowa
OZO-2B257366F19B,Miejsce ochronne,Obiekt ochrony ludności,,Purda,pow. olsztyński,warmińsko-mazurskie,53.7063883943483,20.7036314997822,"66e, Purda",Na żądanie
OZO-8502F4C85F1B,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.44949413613131,18.45902815461159,"ul. Zielona Laguna 12, Gdynia",Całodobowa
OZO-1C2AD9739911,Miejsce ochronne,Obiekt ochrony ludności,,Słupca,pow. słupecki,wielkopolskie,52.28975979472188,17.87112414836884,"ul. Jana Kilińskiego 3a, Słupca",Całodobowa
OZO-78C3BB787507,Miejsce ochronne,Obiekt ochrony ludności,,Turek,pow. turecki,wielkopolskie,52.0154752237848,18.5058294508626,"ul. Legionów Polskich 4, Turek",Określone godziny
OZO-FCE53F848765,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.09458739957682,20.09118870296546,"9, Karkajmy",Na żądanie
OZO-30CAC9B1F207,Miejsce ochronne,Obiekt ochrony ludności,,Sępopol,pow. bartoszycki,warmińsko-mazurskie,54.2788687008642,20.9123379472948,"23, Liski",Na żądanie
OZO-B237314B7F1D,Miejsce ochronne,Obiekt ochrony ludności,,Lubomino,pow. lidzbarski,warmińsko-mazurskie,54.03789138158145,20.20446629644245,"15, Biała Wola",Na żądanie
OZO-0FC192761DE7,Miejsce ochronne,Obiekt ochrony ludności,,Nakło nad Notecią,pow. nakielski,kujawsko-pomorskie,53.1470528328575,17.5245070345752,"10b, Lubaszcz",Na żądanie
OZO-AFEA04A1747B,Miejsce ochronne,Obiekt ochrony ludności,,Nowy Dwór Mazowiecki,pow. nowodworski,mazowieckie,52.4152315,20.7408303,"ul. Młodzieżowa 1, Nowy Dwór Mazowiecki",Na żądanie
OZO-F001C38E7F89,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.5381666941079,18.4497523056772,"ul. Rumska 14, Gdynia",Całodobowa
OZO-7474B6672B8A,Miejsce ochronne,Obiekt ochrony ludności,,Kutno,pow. kutnowski,łódzkie,52.2258140911805,19.3819508532567,"ul. Władysława Łokietka 4, Kutno",Na żądanie
OZO-2272C5ACE04E,Miejsce ochronne,Obiekt ochrony ludności,,Olsztyn,Olsztyn,warmińsko-mazurskie,53.7377452744581,20.4887559732778,"ul. Pomorska 16, Olsztyn",Na żądanie
OZO-22BF0CC491B2,Miejsce ochronne,Obiekt ochrony ludności,,Płock,Płock,mazowieckie,52.54917287324329,19.691520631313328,"al. Al. Stanisława Jachowicza 49, Płock",Całodobowa
OZO-EE0355127406,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.5482832683765,18.5342618460512,"ul. Australijska 5, Gdynia",Całodobowa
OZO-925B5B5DA2A2,Miejsce ochronne,Obiekt ochrony ludności,,Rybno,pow. działdowski,warmińsko-mazurskie,53.3807754429232,20.0086638916158,"52, Szczupliny",Całodobowa
OZO-FCACE22697B1,Miejsce ochronne,Obiekt ochrony ludności,,Września,pow. wrzesiński,wielkopolskie,52.3223540920007,17.5789728085311,"ul. Kilińskiego 30, Września",Całodobowa
OZO-32AD0475CE1D,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.09404341982271,20.08998653133254,"12, Karkajmy",Na żądanie
OZO-88275FA52B32,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.5296498774905,18.4570837720428,"ul. Skarbka 69, Gdynia",Na żądanie
OZO-14F73009C1D0,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.117134427046416,20.14570175420515,"ul. Maja 1 68B, Orneta",Na żądanie
OZO-7F3AFF0DA289,Miejsce ochronne,Obiekt ochrony ludności,,Nieznana,Warszawa,mazowieckie,52.2599963528384,20.9735423703555,"ulica Anny German 1, Żoliborz",Na żądanie
OZO-4F9494E74E08,Miejsce ochronne,Obiekt ochrony ludności,,Turek,pow. turecki,wielkopolskie,52.0126849810128,18.5098878616394,"ul. Jarosława Dąbrowskiego 1A, Turek",Na żądanie
OZO-6388D42DD432,Miejsce ochronne,Obiekt ochrony ludności,,Płock,Płock,mazowieckie,52.54796265564546,19.682293832302097,"ul. abp. Antoniego Juliana Nowowiejskiego 5, Płock",Całodobowa
OZO-D47380768223,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.09389355987166,20.089504492046736,"13, Karkajmy",Na żądanie
OZO-10078B6DCDE7,Miejsce ochronne,Obiekt ochrony ludności,,Biskupiec,pow. olsztyński,warmińsko-mazurskie,53.8601987314691,20.9568379078791,"ul. Mikołaja Kopernika 7, Biskupiec",Na żądanie
OZO-3F76127C9CD3,Miejsce ochronne,Obiekt ochrony ludności,,Turek,pow. turecki,wielkopolskie,52.0141035188143,18.511777492997,"ul. Generała Mieczysława Smorawińskiego 2, Turek",Całodobowa
OZO-D8E052C3AFAA,Miejsce ochronne,Obiekt ochrony ludności,,Rypin,pow. rypiński,kujawsko-pomorskie,53.0650548092393,19.421246843143,"ul. Mławska 34A, Rypin",Całodobowa
OZO-E6C9652BD2B3,Miejsce ochronne,Obiekt ochrony ludności,,Toruń,Toruń,kujawsko-pomorskie,53.0458481999991,18.5791385999997,"ul. Rzepakowa 7-9, Toruń",Na żądanie
OZO-885A4C5225B0,Miejsce ochronne,Obiekt ochrony ludności,,Orneta,pow. lidzbarski,warmińsko-mazurskie,54.094716733173215,20.091641996288978,"8, Karkajmy",Na żądanie
OZO-64FFB61131F6,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.51127661,18.53457811,"ul. Śląska 53, Gdynia",Na żądanie
OZO-C3922E71213E,Miejsce ochronne,Obiekt ochrony ludności,,Żychlin,pow. kutnowski,łódzkie,52.2413948907147,19.630211476005,"ul. Łąkowa 5, Żychlin",Całodobowa
OZO-E93F063E4387,Miejsce ochronne,Obiekt ochrony ludności,,Olsztyn,Olsztyn,warmińsko-mazurskie,53.740910108709,20.5193394296761,"ul. Biskupa Tomasza Wilczyńskiego 2B, Olsztyn",Na żądanie
OZO-CFEE53E6FBA2,Miejsce ochronne,Obiekt ochrony ludności,,Sępopol,pow. bartoszycki,warmińsko-mazurskie,54.2787046061009,20.91278177982,"22, Liski",Na żądanie
OZO-2FF2D638ABCB,Miejsce ochronne,Obiekt ochrony ludności,,Sępopol,pow. bartoszycki,warmińsko-mazurskie,54.2792107823408,20.9126187606301,"21, Liski",Na żądanie
OZO-6094A5A3D23A,Miejsce ochronne,Obiekt ochrony ludności,,Nowe,pow. świecki,kujawsko-pomorskie,53.6599928210969,18.7241729879082,"125, Bochlin",Na żądanie
OZO-7F7140BBD2C0,Miejsce ochronne,Obiekt ochrony ludności,,Koronowo,pow. bydgoski,kujawsko-pomorskie,53.308668287149,17.9441439443939,"ul. Bukowa 4, Koronowo",Na żądanie
OZO-2C470D116B59,Miejsce ochronne,Obiekt ochrony ludności,,Bydgoszcz,Bydgoszcz,kujawsko-pomorskie,53.1404622239715,18.0302962465353,"ul. Józefa Sułkowskiego 52a, Bydgoszcz",Na żądanie
OZO-FD01B6D82A29,Miejsce ochronne,Obiekt ochrony ludności,,Brodnica,pow. brodnicki,kujawsko-pomorskie,53.287501836319,19.417368398868,"ul. Żmijewska 64, Karbowo",Całodobowa
OZO-8A4C01AF4125,Miejsce ochronne,Obiekt ochrony ludności,,Toruń,Toruń,kujawsko-pomorskie,53.017158459933235,18.620585650205616,"ul. Jana III Sobieskiego 14, Toruń",Na żądanie
OZO-411AEBAEE868,Miejsce ochronne,Obiekt ochrony ludności,,Gdynia,Gdynia,pomorskie,54.46400496659914,18.486704520774524,"ul. ks. Jana Pawła Siega 1, Gdynia",Całodobowa
OZO-E84F734DE440,Miejsce ochronne,Obiekt ochrony ludności,,Brodnica,pow. brodnicki,kujawsko-pomorskie,53.2861035518763,19.3845617202274,"ul. Wczasowa 29, Karbowo",Całodobowa
OZO-B19F5B857696,Miejsce ochronne,Obiekt ochrony ludności,,Olsztyn,Olsztyn,warmińsko-mazurskie,53.7472446674571,20.5043934099361,"ul. Franciszka Barcza 50H, Olsztyn",Na żądanie
OZO-34DEC6DE64BD,Miejsce ochronne,Obiekt ochrony ludności,,Gdańsk,Gdańsk,pomorskie,54.3832761518201,18.5895715634612,"ul. Mariana Hemara 3, Gdańsk",Określone godziny
OZO-D5E14D7C9889,Miejsce ochronne,Obiekt ochrony ludności,,Brodnica,pow. brodnicki,kujawsko-pomorskie,53.2880571765,19.4180309783605,"ul. Młodzieżowa 2, Karbowo",Całodobowa
OZO-2013905932B7,Miejsce ochronne,Obiekt ochrony ludności,,Olsztyn,Olsztyn,warmińsko-mazurskie,53.7700503405176,20.4814889375304,"ul. Niepodległości 46, Olsztyn",Na żądanie
